# Waypoints for route CYVR -> CYYZ
49.1939,-123.1840,0.0
49.3411,-120.7676,176.1
49.4376,-118.3393,352.2
49.4832,-115.9039,528.2
49.4775,-113.4666,704.3
49.4207,-111.0323,880.4
49.3129,-108.6062,1056.5
49.1547,-106.1931,1232.6
48.9464,-103.7979,1408.6
48.6891,-101.4248,1584.7
48.3835,-99.0782,1760.8
48.0308,-96.7617,1936.9
47.6322,-94.4787,2113.0
47.1890,-92.2321,2289.0
46.7027,-90.0246,2465.1
46.1746,-87.8582,2641.2
45.6065,-85.7345,2817.3
44.9998,-83.6548,2993.4
44.3562,-81.6200,3169.4
43.6772,-79.6306,3345.5
